Company,TypeName,Inches,touch,Ram (gb),mem ssd gb,mem flash gb,mem HDD gb,OpSys,Weight (kg),Price_euros (Output)
0,1,13.3,0,8,128,0,0,0,1.37,1339.69
0,1,13.3,0,8,0,128,0,0,1.34,898.94
1,0,15.6,0,8,256,0,0,1,1.86,575
0,1,15.4,0,16,512,0,0,0,1.83,2537.45
0,1,13.3,0,8,256,0,0,0,1.37,1803.6
2,0,15.6,0,4,0,0,500,2,2.1,400
0,1,15.4,0,16,0,256,0,3,2.04,2139.97
0,1,13.3,0,8,0,256,0,0,1.34,1158.7
3,1,14,0,16,512,0,0,2,1.3,1495
2,1,14,0,8,256,0,0,2,1.6,770
1,0,15.6,0,4,0,0,500,1,1.86,393.9
1,0,15.6,0,4,0,0,500,1,1.86,344.99
0,1,15.4,0,16,256,0,0,0,1.83,2439.97
4,0,15.6,0,4,256,0,0,2,2.2,498.9
0,1,12,0,8,256,0,0,0,0.92,1262.4
0,1,13.3,0,8,256,0,0,0,1.37,1518.55
4,0,15.6,0,8,256,0,0,2,2.2,745
0,1,15.4,0,16,512,0,0,0,1.83,2858
5,0,15.6,0,8,0,0,1024,1,2.2,499
4,1,13.3,1,8,128,0,0,2,1.22,979
3,5,11.6,0,2,0,32,0,2,0.98,191.9
5,2,15.6,0,8,128,0,1024,2,2.5,999
1,0,15.6,0,4,0,0,500,1,1.86,258
4,3,13.3,1,8,256,0,0,2,1.62,819
1,1,15.6,0,8,256,0,0,2,1.91,659
4,0,15.6,0,4,0,0,1024,2,2.3,418.64
0,1,13.3,0,8,0,128,0,3,1.35,1099
4,0,15.6,0,8,256,0,0,2,2.2,800
4,1,15.6,0,8,256,0,0,2,1.88,1298
1,0,17.3,0,8,0,0,1024,2,2.5,896
6,0,15.6,0,4,0,64,0,2,1.89,244.99
3,0,14,0,2,0,32,0,2,1.65,199
1,0,17.3,0,4,0,0,500,2,2.71,439
4,1,13.3,1,16,512,0,0,2,1.2,1869
0,1,13.3,0,8,0,256,0,3,1.35,998
5,0,14,0,4,0,64,0,2,1.44,249
2,0,15.6,0,4,0,0,1024,4,2.1,367
4,0,17.3,0,8,128,0,1024,2,2.8,979
1,0,15.6,0,4,0,0,1024,2,1.86,488.69
1,0,15.6,0,8,256,0,0,2,2.1,879
3,0,15.6,0,4,0,0,1024,4,2,389
4,2,15.6,0,16,256,0,1024,2,2.65,1499
3,0,15.6,0,8,0,0,1024,4,2.3,522.99
2,0,15.6,0,4,256,0,0,2,2.2,682
4,3,17.3,1,12,0,0,1024,2,2.77,999
0,1,13.3,0,8,256,0,0,0,1.37,1419
5,0,15.6,0,4,128,0,0,1,2.2,369
3,2,17.3,0,8,256,0,1024,2,3.2,1299
4,0,15.6,0,4,256,0,0,2,2.3,639
3,0,17.3,0,4,0,0,1024,2,2.8,466
5,3,10.1,1,4,0,64,0,5,0.69,319
2,0,15.6,0,8,256,0,0,2,2.2,841
1,0,15.6,0,4,256,0,0,2,1.86,398.49
1,0,13.3,0,8,512,0,0,2,1.49,1103
2,0,15.6,0,4,0,0,1024,2,2.4,384
4,0,15.6,0,8,256,0,0,2,2.13,767.8
1,0,15.6,0,4,128,0,0,2,1.91,439
3,0,15.6,0,4,256,0,0,2,2,586.19
7,2,17.3,0,16,256,0,2048,2,2.43,2449
3,0,15.6,0,4,256,0,0,4,2,415
4,0,17.3,0,16,256,0,2048,2,2.8,1299
4,1,14,0,8,256,0,0,2,1.7,879
5,0,14,0,8,256,0,0,1,1.7,599
3,0,14,0,8,256,0,0,2,1.4,941
1,0,15.6,0,8,256,0,0,2,1.86,690
3,1,15.6,0,16,512,0,0,2,1.8,1983
1,0,15.6,0,4,0,0,500,2,1.86,438.69
1,0,14,0,4,32,0,0,2,1.44,229
5,0,15.6,0,4,0,0,1024,2,1.9,549
3,2,17.3,0,12,0,0,1024,4,3,949
8,1,13.5,1,4,128,0,0,6,1.252,1089
4,1,13.3,0,8,256,0,0,2,1.4,955
4,0,15.6,0,8,256,0,0,2,2.2,870
7,2,17.3,0,8,128,0,1024,2,2.7,1095
2,0,14,0,8,0,0,1024,2,2.1,389
3,2,15.6,0,8,0,0,1024,2,2.2,949
5,0,15.6,0,8,0,0,2048,1,2.2,519
4,0,15.6,0,8,128,0,1024,2,2.02,855
2,0,15.6,0,4,0,0,1024,2,2.2,530
1,0,17.3,0,8,128,0,1024,2,2.5,977
4,1,15.6,0,8,256,0,0,2,1.88,1096.16
0,1,12,0,8,512,0,0,0,0.92,1510
1,0,14,0,8,256,0,0,2,1.63,860
5,0,15.6,0,4,128,0,0,2,2.2,399
2,0,15.6,0,4,0,0,1024,2,2.1,395
4,2,15.6,0,16,128,0,1024,2,2.65,1349
1,1,15.6,0,8,256,0,0,2,1.83,699
1,0,15.6,0,8,256,0,0,2,1.96,598.99
3,2,15.6,0,16,128,0,1024,2,2.2,1449
4,1,13.3,0,8,256,0,0,2,1.21,1649
3,2,15.6,0,8,0,0,1024,2,2.45,699
2,0,15.6,0,8,0,0,1024,2,2.2,689
1,0,13.3,0,16,512,0,0,2,1.49,1197
4,2,15.6,0,8,256,0,0,2,2.65,1195
3,1,14,0,8,256,0,0,2,1.25,1049
2,3,13.3,1,8,256,0,0,2,1.5,847
4,0,15.6,0,8,0,0,1024,4,2.2,599.9
4,0,15.6,0,4,256,0,0,4,2.2,485
3,0,15.6,0,6,256,0,0,2,2,577
1,2,15.6,0,12,128,0,1024,2,2.62,1249
1,0,15.6,0,8,256,0,0,2,1.91,719
1,0,15.6,0,4,0,0,500,2,2.1,349
4,0,15.6,0,8,0,0,1024,4,2.2,647
1,1,13.3,0,8,256,0,0,2,1.38,1119
8,1,13.5,1,8,256,0,0,6,1.252,1340
1,0,14,0,6,256,0,0,2,1.58,659
5,0,15.6,0,4,0,0,1024,2,1.85,414.9
3,1,14,0,8,256,0,0,2,1.3,1193
7,2,15.6,0,16,256,0,1024,2,2.2,1299
5,0,14,0,8,256,0,0,2,1.58,1480
3,1,15.6,0,16,256,0,1024,2,1.5,1262
4,1,13.3,1,8,256,0,0,2,1.23,1379
5,3,13.3,1,8,256,0,0,2,1.37,1399
1,0,14,0,4,0,0,500,2,1.63,722
4,1,13.3,0,8,256,0,0,2,1.21,1629
1,3,13.3,1,8,256,0,0,2,1.26,1398.99
1,0,14,0,8,512,0,0,2,1.63,1084
4,0,15.6,0,8,256,0,1024,2,2.16,1130.33
3,0,17.3,0,4,0,0,1024,2,2,564
3,0,15.6,0,8,256,0,0,2,1.7,1118
2,0,15.6,1,6,0,0,1024,2,2.1,479
7,2,15.6,0,16,256,0,2048,2,1.8,2241.5
5,0,15.6,0,8,256,0,0,1,2.2,629
1,0,17.3,0,16,512,0,0,2,2.5,1271
2,0,15.6,0,4,256,0,0,2,2.1,451
1,0,15.6,0,4,0,0,500,1,1.86,259
1,0,14,0,8,0,0,1024,2,1.63,812
3,0,14,0,4,64,0,0,6,1.65,277.99
4,0,17.3,0,16,256,0,2048,2,2.8,1396
1,0,17.3,0,8,256,0,0,2,2.5,928
4,0,15.6,0,8,0,0,1024,2,2.36,638.99
4,0,15.6,0,4,0,0,1024,2,2.2,449
2,1,14,0,8,256,0,0,2,1.6,884
2,0,15.6,0,4,256,0,0,2,2.2,572
1,0,15.6,0,8,0,0,1024,2,2.05,598
1,0,14,0,8,256,0,0,2,1.63,988
5,0,15.6,0,4,0,0,1024,1,1.9,252.36
3,2,17.3,0,8,128,0,1024,2,3,938
5,0,15.6,0,4,0,0,1024,1,2.2,499
1,0,13.3,0,4,256,0,0,2,1.32,699
2,0,17.3,0,4,0,0,1024,2,3,655
5,0,14,0,8,256,0,0,2,1.75,1116.02
5,2,15.6,0,8,256,0,0,1,2.4,869
9,0,15.6,0,4,0,0,500,2,2.1,602
1,0,15.6,0,4,256,0,0,2,1.86,369
3,1,14,0,8,256,0,0,2,1.25,1099
1,1,12.5,1,8,512,0,0,2,0.97,2014
3,0,15.6,0,4,0,0,1024,2,2,344
7,2,17.3,0,16,256,0,1024,2,2.9,2029
2,0,15.6,0,4,0,0,1024,2,2.1,447
4,2,15.6,0,16,512,0,0,2,2.56,1249.26
5,0,15.6,0,4,128,0,0,2,1.9,498
7,2,17.3,0,16,256,0,1024,2,2.8,1890
1,1,14,0,4,256,0,0,2,1.48,1082
1,0,15.6,0,6,256,0,0,2,1.91,619
5,3,14,1,4,256,0,0,2,1.74,629
3,3,13.3,1,8,256,0,0,2,1.1,1315
4,3,15.6,1,8,256,0,0,2,1.56,1049
9,0,15.6,0,4,0,0,500,2,2.1,447
3,0,15.6,0,4,0,0,1024,2,2.03,403
2,0,17.3,0,4,256,0,0,2,3,805
4,0,15.6,0,8,256,0,0,2,2.13,728
5,2,15.6,0,16,256,0,0,2,2.5,1079
2,0,15.6,0,4,0,0,1024,2,2.1,348
7,2,15.6,0,16,256,0,1024,2,2.4,1799
2,0,15.6,0,4,0,0,1024,2,2.1,363.51
4,2,15.6,0,8,128,0,1024,2,2.56,1060.49
2,0,17.3,0,8,256,0,0,2,3,854
1,0,13.3,0,4,0,0,500,2,1.49,754
10,1,13,0,8,256,0,0,2,1.05,1349
1,0,17.3,0,6,0,0,2048,2,2.71,699
5,0,15.6,0,4,0,0,500,1,2.2,309
9,0,15.6,0,4,0,0,500,2,2,489
1,0,17.3,0,8,256,0,0,2,2.5,923
4,0,15.6,0,8,0,0,1024,2,2.3,459
2,0,15.6,0,4,128,0,0,2,2.1,449
7,2,18.4,0,32,512,0,1024,2,4.4,2799
5,0,15.6,0,8,128,0,1024,2,1.9,813
1,3,13.3,1,8,256,0,0,2,1.29,1499
4,0,15.6,0,16,256,0,2048,4,2.02,1049
4,1,13.3,0,8,256,0,0,2,1.23,1399
5,3,13.9,1,16,512,0,0,2,1.4,1849
9,0,15.6,0,8,128,0,0,2,2,793
11,0,15.6,0,8,256,0,0,1,1.95,1199
4,0,17.3,1,16,512,0,0,2,2.77,1549
4,0,15.6,1,16,512,0,0,2,2.06,2397
5,2,15.6,0,8,256,0,0,1,2.4,779
2,1,13.3,0,8,256,0,0,2,1.12,989
4,0,17.3,0,8,128,0,1024,2,2.8,1085
5,3,14,1,16,1024,0,0,2,1.42,2824
12,0,14,0,4,0,32,0,2,1.3,260
11,1,13.3,0,8,256,0,0,1,1.3,999.9
5,0,17.3,0,8,256,0,0,1,2.8,698
4,3,13.3,1,8,0,0,1024,2,1.62,839
1,0,17.3,0,8,0,0,1024,2,2.5,914
13,2,17.3,1,32,1024,0,0,2,3.49,6099
1,0,13.3,0,8,512,0,0,2,1.49,959
1,2,17.3,0,16,256,0,1024,2,3.35,1379
1,0,17.3,0,8,256,0,0,2,2.5,1045
4,2,15.6,0,16,512,0,1024,2,2.65,1845
5,0,15.6,0,4,128,0,0,2,2.1,493
2,0,15.6,0,8,0,0,1024,2,2.23,742
5,2,15.6,0,16,512,0,1024,2,3.2,1749
4,4,15.6,0,16,256,0,1024,2,2.8,3055
5,2,15.6,0,16,512,0,0,1,2.4,1398
4,0,15.6,1,6,0,0,1024,2,2.3,439
4,1,13.3,1,8,256,0,0,2,1.21,1949
4,1,13.3,0,8,256,0,0,2,1.2,1449
5,0,15.6,0,8,256,0,0,2,2.2,597
2,0,15.6,0,8,0,0,1024,4,2.4,779
3,2,17.3,0,16,256,0,1024,2,2.9,1407
1,0,15.6,0,4,0,0,500,1,2.1,349
5,0,15.6,0,8,256,0,0,1,2.2,549
10,1,13,0,8,512,0,0,2,1.05,1499
4,1,13.3,0,8,256,0,0,2,1.4,931.88
5,0,17.3,0,8,0,0,1024,1,2.8,589
1,0,14,0,8,256,0,0,2,1.63,1031
4,1,14,0,8,256,0,0,2,1.6,1149
4,3,13.3,1,16,512,0,0,2,1.62,1279
4,0,15.6,0,8,256,0,0,4,2.2,677.35
5,3,14,0,8,256,0,0,2,1.74,899
9,1,13.3,0,8,256,0,0,2,1.2,1363
1,0,15.6,0,8,0,0,1024,2,2.1,794
4,2,17.3,0,16,256,0,1024,2,4.42,2456.34
2,0,15.6,0,8,256,0,0,2,2.2,832
4,0,15.6,1,16,0,0,1024,2,2.3,859.01
3,0,15.6,0,8,256,0,0,2,2,769
3,0,17.3,0,8,256,0,500,2,2.69,891
1,0,15.6,0,8,0,0,1024,2,1.9,1269
3,0,15.6,0,4,0,0,1024,2,2.37,398.99
1,0,15.6,0,4,0,0,500,2,2.1,330
5,2,15.6,0,16,256,0,1024,2,3.2,1499
4,0,14,0,8,256,0,0,2,1.6,859
2,3,13.3,1,8,256,0,0,2,1.6,689
4,0,15.6,0,16,256,0,0,4,2.36,899
2,0,15.6,0,4,0,0,1024,4,2.1,390
3,0,15.6,0,4,128,0,1024,2,2.2,575
3,2,17.3,0,32,512,0,1024,2,4.7,3890
2,2,15.6,0,8,256,0,0,2,2.5,846
5,0,15.6,0,8,128,0,0,2,2.2,589
3,0,17.3,0,8,128,0,1024,2,2.1,1145
3,0,17.3,0,8,128,0,1024,1,2.69,889
4,2,15.6,0,8,256,0,0,2,2.56,879
5,3,13.9,1,8,256,0,0,2,1.38,1079
4,0,15.6,0,8,128,0,2048,2,2.2,985
1,0,15.6,1,8,0,0,1024,2,2.04,559
3,2,17.3,0,16,256,0,0,2,3.6,2999
1,0,13.3,0,4,0,0,500,2,1.49,675
0,1,13.3,0,8,512,0,0,0,1.37,2040
4,3,15.6,1,8,0,0,1024,2,2.08,819
3,2,17.3,0,16,256,0,1024,2,4.3,1799
3,0,15.6,0,4,0,0,1024,2,1.68,469
5,3,13.9,1,8,512,0,0,2,1.37,1849
2,0,17.3,0,4,256,0,0,2,3,702
4,1,13.3,0,8,256,0,0,2,1.41,949
1,0,15.6,0,8,128,0,0,2,1.91,445.9
1,0,17.3,0,16,0,0,1024,2,2.9,1059
7,2,17.3,0,16,512,0,1024,2,4.14,2499
5,3,15.6,1,8,512,0,0,2,2,1699
4,0,17.3,0,8,128,0,1024,2,2.8,1142
5,0,15.6,0,4,256,0,0,1,2.2,444
1,0,15.6,0,4,0,0,500,2,2.1,722
4,0,15.6,0,4,0,0,1024,2,2.18,657
4,0,15.6,0,8,0,0,1024,2,2.24,565
4,3,15.6,1,8,256,0,0,2,2.67,799
3,3,13.3,1,8,1024,0,0,2,1.1,1499
5,0,15.6,0,4,0,0,1024,1,2.2,467
1,0,17.3,0,8,0,0,1024,2,2.5,1018
5,0,15.6,0,8,256,0,0,2,2.05,880
0,1,13.3,0,8,512,0,0,0,1.37,1958.9
3,2,17.3,0,16,256,0,1024,2,3.2,1549
4,0,15.6,0,8,256,0,0,4,2.14,735.07
5,3,14,1,16,512,0,0,2,1.36,2499
9,0,15.6,0,8,0,0,500,2,2.2,812
4,0,15.6,0,12,0,0,1024,2,2.3,713.07
4,0,17.3,0,8,128,0,1024,4,2.8,1099
2,0,15.6,0,8,0,0,1024,2,2.2,745
5,0,17.3,0,4,0,0,1024,2,2.8,489
5,0,17.3,0,8,0,0,2048,1,2.8,849
5,0,17.3,0,6,128,0,1024,2,2.8,859
4,0,15.6,0,4,0,0,1024,4,2.25,428
5,2,15.6,0,8,256,0,0,2,2.5,829
5,0,15.6,0,6,256,0,0,2,2.2,579
2,0,15.6,0,8,256,0,0,2,3,951
2,0,15.6,1,12,0,0,1024,2,2.15,659
5,0,15.6,0,8,256,0,0,2,1.95,1097
3,1,15.6,0,8,256,0,0,2,1.7,977
5,2,15.6,0,16,256,0,1024,2,2.5,1179
5,0,15.6,0,8,0,0,1024,1,2.2,659.01
2,0,15.6,0,2,16,0,0,7,2.19,199
3,2,17.3,0,8,0,0,1024,2,3,1187
1,0,17.3,0,8,0,0,1024,2,2.54,489
4,0,15.6,0,8,256,0,0,2,2,1829
5,0,15.6,0,8,256,0,0,2,2.05,739
5,2,15.6,0,8,0,0,1024,2,3.2,1299
2,0,15.6,0,8,256,0,0,4,2.5,979
4,4,17.3,0,16,256,0,0,2,3.42,2884.86
5,0,15.6,0,6,0,0,1024,2,2.4,499
3,1,15.6,0,16,512,0,0,2,1.63,1468
3,0,14,0,4,128,0,0,2,1.3,509
3,2,17.3,0,16,256,0,1024,2,2.9,2122
5,0,17.3,0,6,0,0,1024,2,2.8,649
5,0,15.6,0,8,0,0,2048,1,2.2,549
3,2,15.6,0,8,128,0,1024,2,2.5,1265
5,0,15.6,0,4,0,0,1024,1,2.2,359.99
1,3,13.3,1,16,256,0,0,2,1.28,1975
9,0,15.6,0,8,256,0,0,2,2.2,1043
5,0,15.6,0,8,128,0,1024,2,2.3,819
1,0,15.6,0,4,0,0,1024,2,1.86,469
5,0,13.3,0,8,256,0,0,2,1.1,999
4,1,13.3,1,16,1024,0,0,2,1.21,2499
7,2,15.6,0,16,256,0,1024,2,2.8,2099
2,0,15.6,0,8,256,0,0,2,2.23,469
3,3,11.6,1,2,0,32,0,2,1.1,275
4,0,15.6,0,8,128,0,1024,2,2.33,844
1,3,13.3,1,16,1024,0,0,2,1.29,2449
5,0,13.3,0,4,0,16,0,7,1.45,459.9
1,0,14,0,8,256,0,0,2,1.95,980
2,0,11.6,0,4,0,128,0,2,1.4,485
1,0,14,0,8,256,0,0,2,1.48,1292
5,0,17.3,0,4,0,0,1024,2,2.79,589
3,0,14,0,8,256,0,0,2,2,1094
1,0,15.6,0,8,0,0,1024,2,2.1,902
2,0,15.6,0,8,256,0,0,2,2.2,659
5,0,14,0,4,0,32,0,2,1.44,292
2,0,15.6,0,6,0,0,1024,2,2.23,549
3,1,15.6,0,8,256,0,0,2,1.7,1049.9
1,1,12.5,0,8,256,0,0,2,1.26,1335
4,0,15.6,1,32,1024,0,0,2,2.06,2639
7,2,17.3,0,8,256,0,1024,2,2.7,1199
9,0,15.6,0,8,256,0,0,2,2,943
3,0,14,0,8,256,0,1024,2,2,1334
5,0,15.6,0,4,0,0,1024,2,1.85,449
3,2,15.6,0,8,256,0,0,2,2.5,999
1,0,14,0,8,256,0,0,2,1.48,1268
4,1,15.6,0,8,128,0,1024,2,1.9,1049
1,0,15.6,0,8,256,0,0,2,1.84,1144
3,0,15.6,0,4,0,0,1024,4,2,274.99
4,0,15.6,0,8,256,0,0,2,2,1142.75
4,0,15.6,0,4,0,0,500,4,2.2,274.9
5,0,15.6,0,12,0,0,2048,2,2.2,899
1,0,15.6,0,8,0,0,1024,2,2.1,716
5,3,13.9,1,16,512,0,0,2,1.4,2099
4,1,13.3,0,8,256,0,0,2,1.2,1579
5,2,15.6,0,16,256,0,2048,2,2.4,1129
1,0,14,0,2,0,32,0,2,1.44,279
4,1,15.6,0,16,512,0,0,2,1.88,1607.96
3,3,11.6,1,4,0,32,0,2,1.5,375
4,1,15.6,0,8,0,0,1024,2,1.9,663
4,0,15.6,1,16,512,0,0,2,2.06,2027.42
1,0,15.6,0,8,256,0,0,2,1.84,1304
7,2,17.3,0,8,128,0,1024,2,2.7,1409
1,4,15.6,0,8,256,0,0,2,2.6,1738.27
9,0,15.6,0,16,512,0,0,2,2.4,1403
4,0,15.6,0,8,128,0,2048,2,2.02,970.9
5,0,15.6,0,4,0,0,1024,1,2.2,321.99
4,2,15.6,0,8,0,0,1024,2,2.65,999
4,0,15.6,1,8,0,0,2048,2,2.36,557.37
4,0,14,0,8,256,0,0,2,1.36,1427
1,0,15.6,0,4,0,0,500,2,1.86,439
3,0,14,0,8,256,0,0,2,2,945
5,0,17.3,0,6,128,0,1024,2,2.8,719
1,0,15.6,0,8,0,0,1024,2,1.86,639
5,0,15.6,0,8,256,0,0,1,2.2,499
1,0,15.6,0,8,0,0,2048,2,2.04,389
4,0,17.3,0,8,128,0,1024,2,2.8,1085
5,2,15.6,0,8,128,0,1024,1,2.4,809
4,0,15.6,0,8,256,0,0,2,2.33,899
1,1,14,0,8,256,0,0,2,1.36,1750
3,3,15.6,1,12,512,0,2048,2,2.26,1099
2,0,15.6,0,4,128,0,0,2,2.1,426
3,2,17.3,0,16,256,0,1024,2,3.25,2199
5,0,17.3,0,4,128,0,0,2,2.6,489
4,3,13.3,1,8,256,0,0,2,1.62,869.01
1,0,15.6,0,4,256,0,0,2,1.91,488.99
5,5,11.6,0,4,128,0,0,2,1.59,553
4,0,15.6,0,4,0,0,500,2,1.8,309
3,0,14,0,4,0,32,0,2,1.5,286
2,0,15.6,0,8,0,0,1024,4,2.4,846
1,2,17.3,0,8,128,0,1024,2,3.35,1191
5,0,15.6,0,4,128,0,0,1,1.85,403.5
3,2,15.6,0,8,128,0,1024,2,2.3,1655
5,0,14,0,8,256,0,0,2,1.5,1099
3,1,13.3,1,16,512,0,0,2,1.1,1748.9
5,1,14,0,8,512,0,0,2,1.13,2282
5,0,13.3,0,4,128,0,0,2,1.5,549
4,4,15.6,0,8,0,0,500,2,2.23,1369
4,4,15.6,0,8,256,0,0,2,2,2135
5,3,14,1,16,512,0,0,2,1.42,2509
3,2,17.3,0,8,0,0,1024,2,3,1039
3,2,17.3,0,16,256,0,1024,2,3,1591
2,0,15.6,0,12,0,0,1024,2,2.2,693.99
7,2,17.3,0,8,256,0,0,2,2.7,1349
4,0,15.6,0,8,256,0,0,4,2.33,778.87
1,1,15.6,0,4,256,0,0,2,1.91,499
5,0,15.6,0,8,256,0,0,2,2.1,1229.56
5,0,14,0,8,256,0,0,2,1.9,938
4,4,15.6,1,8,256,0,0,2,1.78,2712
5,1,14,0,16,1024,0,0,2,1.13,2625
5,0,15.6,0,4,0,0,1024,2,2.2,306
3,2,17.3,0,16,256,0,1024,2,2.9,1529
5,0,15.6,0,8,256,0,1024,2,2.1,1144.5
2,0,15.6,0,8,256,0,0,4,2.5,879
7,2,17.3,0,16,256,0,1024,2,2.8,2249
3,1,14,0,8,512,0,0,2,1.1,1873
9,1,13.3,0,16,512,0,0,2,1.2,1747
4,1,14,0,8,512,0,0,2,1.36,1680
5,0,15.6,0,4,0,0,500,2,2.2,409
5,0,11.6,0,2,0,32,0,2,1.15,304.45
5,4,15.6,0,8,512,0,0,2,2.67,1925
5,1,14,0,8,512,0,0,2,1.7,1943
1,0,15.6,0,4,0,0,1024,2,2.1,469
2,3,13.3,1,8,256,0,0,2,1.6,789.01
3,3,13.3,1,8,256,0,0,2,1.27,928
4,0,15.6,0,4,256,0,0,4,2.3,598.9
4,0,13.3,0,4,128,0,0,2,1.65,689
1,1,14,0,8,256,0,0,2,1.43,1500
4,0,15.6,0,8,0,0,1024,2,2.14,539.95
5,1,14,0,8,256,0,0,2,1.75,1215.38
5,3,15.6,1,16,512,0,0,2,2,1899
6,0,12.3,0,6,0,64,0,2,1.4,449
1,0,15.6,0,8,256,0,0,2,2.31,1427
3,0,15.6,0,8,0,0,1024,4,2.3,597
4,2,17.3,0,16,256,0,1024,2,4.42,2799
4,2,15.6,0,8,128,0,1024,2,2.62,1159
4,0,15.6,0,8,256,0,2048,2,2.02,1142.4
4,1,14,0,8,256,0,0,4,1.6,1099
1,2,17.3,0,12,256,0,1024,2,3.35,1999
14,3,11.6,1,4,32,0,0,2,1.16,299
